Trajectories
100
,,S01:WRIST,,,S01:ELBOW,,,S01:SHLDR,,,S01:CHEST,,,S01:RHIP,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
150,0,-43.4426,-147.101,1414.42,35.96,-74.6538,1198.24,266.488,-185,1285.5,151.674,-320.001,1233.46,261.828,-186.957,941.619
151,0,-43.1329,-147.424,1415.27,35.8152,-74.8647,1199.01,266.406,-185.207,1285.52,151.673,-320.001,1233.46,261.788,-186.969,941.608
152,0,-42.7601,-147.625,1416.18,35.7439,-75.1214,1199.71,266.363,-185.256,1285.61,151.56,-320.032,1233.53,261.75,-186.97,941.622
153,0,-42.7331,-147.64,1417.15,35.5115,-75.1602,1200.44,266.237,-185.4,1285.64,151.555,-320.114,1233.54,261.718,-186.955,941.647
154,0,-42.5304,-147.787,1417.99,35.306,-75.3476,1201.19,266.17,-185.383,1285.7,151.451,-320.083,1233.54,261.666,-186.957,941.634
155,0,-42.4905,-147.885,1418.83,35.0639,-75.4242,1201.89,266.048,-185.397,1285.79,151.446,-320.165,1233.55,261.67,-186.955,941.635
156,0,-42.1347,-148.093,1419.6,34.8378,-75.4044,1202.55,266.017,-185.403,1285.95,151.34,-320.213,1233.57,261.64,-186.955,941.632
157,0,-42.009,-148.183,1420.37,34.708,-75.6722,1203.14,265.894,-185.489,1285.9,151.339,-320.214,1233.56,261.606,-186.922,941.64
158,0,-41.8332,-148.14,1421.18,34.4341,-75.622,1203.77,265.782,-185.462,1286.03,151.233,-320.263,1233.58,261.52,-186.907,941.664
159,0,-41.5219,-148.341,1421.87,34.2086,-75.556,1204.39,265.772,-185.463,1286.15,151.13,-320.232,1233.58,261.478,-186.888,941.683
160,0,-41.4656,-148.254,1422.57,33.9416,-75.6555,1204.92,265.731,-185.454,1286.22,151.124,-320.314,1233.58,261.412,-186.897,941.667
161,0,-41.3726,-148.361,1423.25,33.8159,-75.8492,1205.41,265.692,-185.519,1286.27,151.02,-320.283,1233.58,261.399,-186.838,941.681
162,0,-40.9751,-148.551,1423.81,33.7704,-75.9939,1205.84,265.65,-185.524,1286.34,151.022,-320.282,1233.59,261.4,-186.84,941.681
163,0,-40.7045,-148.622,1424.39,33.7333,-75.9566,1206.36,265.612,-185.562,1286.44,151.017,-320.364,1233.59,261.347,-186.846,941.681
164,0,-40.5758,-148.616,1424.91,33.6508,-75.9749,1206.79,265.485,-185.75,1286.33,150.909,-320.414,1233.6,261.281,-186.824,941.668
165,0,-40.3493,-148.637,1425.45,33.3787,-75.9038,1207.21,265.453,-185.653,1286.44,150.909,-320.414,1233.61,261.28,-186.823,941.656
166,0,-40.2361,-148.628,1425.99,33.2532,-76.0099,1207.59,265.395,-185.677,1286.5,150.802,-320.464,1233.62,261.232,-186.806,941.659
167,0,-39.9581,-148.664,1426.55,33.12,-76.099,1207.95,265.354,-185.583,1286.65,150.798,-320.545,1233.63,261.166,-186.786,941.654
168,0,-39.8362,-148.623,1427.02,33.0726,-76.1159,1208.3,265.269,-185.58,1286.71,150.695,-320.514,1233.63,261.171,-186.814,941.683
169,0,-39.6475,-148.704,1427.49,33.0234,-76.0619,1208.75,265.215,-185.567,1286.79,150.69,-320.595,1233.63,261.099,-186.732,941.69
170,0,-39.534,-148.749,1427.98,32.903,-76.1291,1209.14,265.159,-185.449,1286.83,150.587,-320.569,1233.54,261.083,-186.745,941.693
