Devices
1000
,,AMTI OR6 Series Force Plate - Force,,,AMTI OR6 Series Force Plate - Moment,,,AMTI OR6 Series Force Plate - CoP,,,Analog EMG - Voltage,,,,,,,,,,AMTI OR6 Series Force Plate - Force,,,AMTI OR6 Series Force Plate - Moment,,,AMTI OR6 Series Force Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,RFEM,LFEM,LHAM,RHAM,LTIB,RTIB,7,LGAS,RGAS,10,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
9,0,1.09127,-0.381932,-563.038,-43167.9,54106.8,115.402,230.098,-180.33,-3,0.000823975,0.00170898,-0.00378418,0.00115967,0.00128174,0.00012207,0.000579834,0.000183105,0.000305176,0.000823975,0,0,0,0,0,0,226,252,-3
9,1,1.04413,-0.378182,-564.082,-43149.5,54280.2,176.062,230.227,-180.505,-3,-0.000671387,0.00012207,-0.00213623,-0.00360107,0.000732422,0.000427246,0.000244141,0.00012207,0.000793457,0.000762939,0,0,0,0,0,0,226,252,-3
9,2,0.957753,-0.332492,-566.337,-43416.8,54092.8,97.4903,229.514,-180.338,-3,-0.00262451,-0.00189209,0.000549316,-0.00701904,0.00128174,0.000183105,0.000213623,0.000915527,6.10352e-005,0.000732422,0,0,0,0,0,0,226,252,-3
9,3,1.00017,-0.0712782,-565.118,-43348.1,54089.8,175.318,229.714,-180.294,-3,-0.00256348,-0.00299072,0.00189209,-0.00823975,0.00164795,-0.00012207,-9.15527e-005,0.000305176,0.000183105,0.000823975,0,0,0,0,0,0,226,252,-3
9,4,0.914858,-0.207357,-563.038,-43141.9,54208.7,167.265,230.279,-180.377,-3,-0.00119019,-0.00140381,0.00543213,-0.0078125,0.000793457,6.10352e-005,3.05176e-005,0.000305176,0.00146484,0.00106812,0,0,0,0,0,0,226,252,-3
9,5,1.05202,-0.771072,-564.947,-43415.2,53822.7,79.8856,229.27,-180.152,-3,-0.00115967,-0.0010376,0.00561523,-0.00634766,0.000793457,0.000183105,0.00012207,0.000183105,0.000366211,0,0,0,0,0,0,0,226,252,-3
9,6,0.960312,-0.460398,-565.296,-43250.3,53940,192.357,229.419,-180.491,-3,-0.000457764,0.00177002,0.00378418,-0.00158691,-0.000488281,0.000488281,0.00012207,0.000183105,6.10352e-005,0.000946045,0,0,0,0,0,0,226,252,-3
9,7,0.827774,-0.463042,-564.953,-43154.2,54175,175.618,229.893,-180.615,-3,-0.000671387,-0.000793457,0.000183105,0.00372314,0,0.00012207,0.000274658,-6.10352e-005,-0.00012207,0.00170898,0,0,0,0,0,0,226,252,-3
9,8,0.959376,-0.938025,-566.346,-43213.2,54170.5,192.827,229.649,-180.698,-3,9.15527e-005,-0.000854492,0.00146484,0.00488281,0.000976563,-0.000244141,0.000701904,0.000915527,0.000610352,0.000457764,0,0,0,0,0,0,226,252,-3
9,9,1.39075,-0.24056,-565.815,-43240.3,54131.9,158.52,229.671,-180.579,-3,0.00271606,-0.000244141,-0.00238037,0.0020752,0.00268555,0.000183105,9.15527e-005,0.000244141,0.000549316,-0.000335693,0,0,0,0,0,0,226,252,-3
10,0,0.914433,-0.37004,-567.557,-43285.6,53981.2,80.0261,229.111,-180.734,-3,0.0015564,-0.000305176,-0.00408936,-0.00360107,0.00213623,0,0.000427246,0.000488281,0.000610352,0.000549316,0,0,0,0,0,0,226,252,-3
